,date,region,site_code,product_code,pred_share_regionlev,agg_level
31591,2016-01-01,PORO-TCHOLOGO-BAGOUE,C3021,AS27138,0.10116284490920166,region
32697,2016-01-01,BOUNKANI-GONTOUGO,C4002,AS27000,0.35934701843374967,region
32689,2016-01-01,INDENIE-DJUABLIN,C4001,AS46000,0.1006702025072324,region
13957,2016-01-01,GBOKLE-NAWA-SAN PEDRO,C1095,AS27137,0.10116284490920166,region
5225,2016-01-01,ABIDJAN 2,C1035,AS27000,0.056250907999450594,region
26010,2016-01-01,GBOKLE-NAWA-SAN PEDRO,C2066,AS27139,0.019655570626675,region
32688,2016-01-01,INDENIE-DJUABLIN,C4001,AS27139,0.0003241268167590675,region
6801,2016-01-01,ABIDJAN 1-GRANDS PONTS,C1059,AS27000,0.012167208348392019,region
31584,2016-01-01,PORO-TCHOLOGO-BAGOUE,C3021,AS27137,0.10116284490920166,region
11924,2016-01-01,SUD-COMOE,C1087,AS46000,0.7060712666071355,region
23257,2016-01-01,HAUT-SASSANDRA,C2056,AS27137,0.4583757256568316,region
13912,2016-01-01,GBOKLE-NAWA-SAN PEDRO,C1095,AS27134,0.10116284490920166,region
18956,2016-01-01,WORODOUGOU-BERE,C2008,AS27138,0.10116284490920166,region
24512,2016-01-01,GBEKE,C2062,AS27133,0.24298029556650244,region
14279,2016-01-01,AGNEBY-TIASSA-ME,C1098,AS27134,0.10116284490920166,region
31598,2016-01-01,PORO-TCHOLOGO-BAGOUE,C3021,AS27139,0.10296860144286915,region
27766,2016-01-01,GBOKLE-NAWA-SAN PEDRO,C2131,AS27000,0.10116284490920166,region
33676,2016-01-01,N'ZI-IFOU-MORONOU,C4016,AS27134,0.10116284490920166,region
24557,2016-01-01,GBEKE,C2062,AS27134,0.19652355623100304,region
19044,2016-01-01,WORODOUGOU-BERE,C2008,AS46000,0.1389250531836676,region
11799,2016-01-01,SUD-COMOE,C1087,AS27138,0.05699038425419438,region
26395,2016-01-01,BELIER,C2068,AS27139,0.11951772476542766,region
23167,2016-01-01,HAUT-SASSANDRA,C2056,AS27133,0.2823529411764706,region
3338,2016-01-01,ABIDJAN 2,C1026,AS27133,0.3761524595945772,region
11844,2016-01-01,SUD-COMOE,C1087,AS27139,0.00023098633900320515,region
31604,2016-01-01,HAMBOL,C3022,AS17005,0.06943020511244094,region
1247,2016-01-01,ABIDJAN 2,C1010,AS27137,0.05938561351862515,region
38218,2016-01-01,KABADOUGOU-BAFING-FOLON,C5003,AS27134,0.5534390656165682,region
31602,2016-01-01,PORO-TCHOLOGO-BAGOUE,C3021,AS46000,0.15306154498075009,region
6891,2016-01-01,ABIDJAN 1-GRANDS PONTS,C1059,AS27133,0.026794984217351304,region
31600,2016-01-01,PORO-TCHOLOGO-BAGOUE,C3021,AS42018,0.0,region
19001,2016-01-01,WORODOUGOU-BERE,C2008,AS27139,0.019631167760322723,region
37929,2016-01-01,CAVALLY-GUEMON,C5002,AS27133,0.15758034612716937,region
1388,2016-01-01,ABIDJAN 2,C1011,AS27132,0.013815648490623344,region
29737,2016-01-01,HAMBOL,C3013,AS27137,1.0,region
11305,2016-01-01,ABIDJAN 2,C1086,AS27132,0.09637023776210216,region
36078,2016-01-01,N'ZI-IFOU-MORONOU,C4025,AS46000,0.13531871387679023,region
19844,2016-01-01,MARAHOUE,C2011,AS27134,0.8379579872984856,region
25875,2016-01-01,GBOKLE-NAWA-SAN PEDRO,C2066,AS27134,0.10116284490920166,region
26601,2016-01-01,BELIER,C2069,AS27134,0.6182513049768515,region
22463,2016-01-01,GOH,C2053,AS27133,0.10116284490920166,region
4682,2016-01-01,ABIDJAN 2,C1030,AS27000,0.025352984845917158,region
19799,2016-01-01,MARAHOUE,C2011,AS27133,0.22559229036665066,region
19785,2016-01-01,MARAHOUE,C2011,AS27132,0.7126315789473685,region
7696,2016-01-01,ABIDJAN 1-GRANDS PONTS,C1062,AS46000,0.001559069915867194,region
31697,2016-01-01,HAMBOL,C3022,AS27133,0.09120228332620042,region
22508,2016-01-01,GOH,C2053,AS27134,0.10116284490920166,region
4727,2016-01-01,ABIDJAN 2,C1030,AS27132,0.029881763978658,region
10966,2016-01-01,ABIDJAN 2,C1084,AS27000,0.08880721255201811,region
3473,2016-01-01,ABIDJAN 2,C1026,AS27138,0.007401193431395168,region
1511,2016-01-01,ABIDJAN 2,C1011,AS27137,0.00921419751432018,region
25013,2016-01-01,GBOKLE-NAWA-SAN PEDRO,C2064,AS17005,0.021599122342759573,region
14459,2016-01-01,AGNEBY-TIASSA-ME,C1098,AS46000,0.1194415631751429,region
38346,2016-01-01,KABADOUGOU-BAFING-FOLON,C5003,AS27139,0.00023098633900320515,region
29557,2016-01-01,HAMBOL,C3013,AS27000,0.25219637766817893,region
34162,2016-01-01,BOUNKANI-GONTOUGO,C4018,AS27000,0.4849802356799944,region
4547,2016-01-01,ABIDJAN 2,C1029,AS27139,0.0035714285714285713,region
34577,2016-01-01,N'ZI-IFOU-MORONOU,C4019,AS27133,0.10116284490920166,region
19934,2016-01-01,MARAHOUE,C2011,AS27138,0.3,region
26646,2016-01-01,BELIER,C2069,AS27137,0.7208333333333333,region
35802,2016-01-01,N'ZI-IFOU-MORONOU,C4025,AS27000,0.10116284490920166,region
10785,2016-01-01,AGNEBY-TIASSA-ME,C1083,AS27133,0.10116284490920166,region
33451,2016-01-01,AGNEBY-TIASSA-ME,C4015,AS27134,0.10116284490920166,region
3518,2016-01-01,ABIDJAN 2,C1026,AS27139,0.0035714285714285713,region
32877,2016-01-01,BOUNKANI-GONTOUGO,C4002,AS27137,0.7189313906657048,region
22291,2016-01-01,BELIER,C2052,AS27133,0.10116284490920166,region
29168,2016-01-01,HAMBOL,C3011,AS27137,0.16338634219528006,region
19889,2016-01-01,MARAHOUE,C2011,AS27137,0.7,region
22336,2016-01-01,BELIER,C2052,AS27134,0.10116284490920166,region
25046,2016-01-01,GBOKLE-NAWA-SAN PEDRO,C2064,AS27000,0.5989107479962437,region
36148,2016-01-01,BOUNKANI-GONTOUGO,C4026,AS27132,0.10116284490920166,region
1202,2016-01-01,ABIDJAN 2,C1010,AS27134,0.06943798469580194,region
35890,2016-01-01,N'ZI-IFOU-MORONOU,C4025,AS27133,0.10116284490920166,region
35978,2016-01-01,N'ZI-IFOU-MORONOU,C4025,AS27137,0.10116284490920166,region
24772,2016-01-01,GBEKE,C2062,AS46000,0.09411764705882353,region
36068,2016-01-01,N'ZI-IFOU-MORONOU,C4025,AS27139,0.019748711104430862,region
31130,2016-01-01,HAMBOL,C3019,AS27138,0.40027258524701426,region
7425,2016-01-01,ABIDJAN 1-GRANDS PONTS,C1062,AS27132,0.006637406601774379,region
37842,2016-01-01,CAVALLY-GUEMON,C5002,AS27000,0.2579541921645826,region
11191,2016-01-01,ABIDJAN 2,C1084,AS27138,0.08880721255201811,region
3428,2016-01-01,ABIDJAN 2,C1026,AS27137,0.03337794212627551,region
4862,2016-01-01,ABIDJAN 2,C1030,AS27137,0.02004046634493576,region
7380,2016-01-01,ABIDJAN 1-GRANDS PONTS,C1062,AS27000,0.059423533086520264,region
36283,2016-01-01,BOUNKANI-GONTOUGO,C4026,AS27137,0.10116284490920166,region
7373,2016-01-01,ABIDJAN 1-GRANDS PONTS,C1062,AS17005,0.0028427182300652136,region
11260,2016-01-01,ABIDJAN 2,C1086,AS27000,0.08880721255201811,region
26511,2016-01-01,BELIER,C2069,AS27132,0.11346801346801347,region
36103,2016-01-01,BOUNKANI-GONTOUGO,C4026,AS27000,0.10116284490920166,region
25920,2016-01-01,GBOKLE-NAWA-SAN PEDRO,C2066,AS27137,0.10116284490920166,region
27549,2016-01-01,PORO-TCHOLOGO-BAGOUE,C2127,AS27133,0.10116284490920166,region
7650,2016-01-01,ABIDJAN 1-GRANDS PONTS,C1062,AS27139,0.0011566850606837687,region
7470,2016-01-01,ABIDJAN 1-GRANDS PONTS,C1062,AS27133,0.005680004191845694,region
19694,2016-01-01,MARAHOUE,C2011,AS17005,0.047619047619047616,region
11011,2016-01-01,ABIDJAN 2,C1084,AS27132,0.09678593595627343,region
7605,2016-01-01,ABIDJAN 1-GRANDS PONTS,C1062,AS27138,0.021638524769057196,region
26556,2016-01-01,BELIER,C2069,AS27133,0.77696300016742,region
4772,2016-01-01,ABIDJAN 2,C1030,AS27133,0.13575716336284085,region
11056,2016-01-01,ABIDJAN 2,C1084,AS27133,0.08880721255201811,region
14414,2016-01-01,AGNEBY-TIASSA-ME,C1098,AS27139,0.019748711104430862,region
19740,2016-01-01,MARAHOUE,C2011,AS27000,0.7617868199911544,region
32832,2016-01-01,BOUNKANI-GONTOUGO,C4002,AS27134,0.058310434969930526,region
7560,2016-01-01,ABIDJAN 1-GRANDS PONTS,C1062,AS27137,0.14830407326844103,region
11101,2016-01-01,ABIDJAN 2,C1084,AS27134,0.08880721255201811,region
29827,2016-01-01,HAMBOL,C3013,AS27139,0.00011754334410813989,region
1466,2016-01-01,ABIDJAN 2,C1011,AS27134,0.016520525324406,region
7515,2016-01-01,ABIDJAN 1-GRANDS PONTS,C1062,AS27134,0.00548072154109061,region
14369,2016-01-01,AGNEBY-TIASSA-ME,C1098,AS27138,0.10116284490920166,region
4817,2016-01-01,ABIDJAN 2,C1030,AS27134,0.02625252107718896,region
11146,2016-01-01,ABIDJAN 2,C1084,AS27137,0.17342259716740271,region
31742,2016-01-01,HAMBOL,C3022,AS27134,0.12649640097325926,region
11975,2016-01-01,ABIDJAN 1-GRANDS PONTS,C1088,AS27000,0.1257850222793507,region
36328,2016-01-01,BOUNKANI-GONTOUGO,C4026,AS27138,0.10116284490920166,region
32412,2016-01-01,INDENIE-DJUABLIN,C4001,AS17005,0.1,region
12681,2016-01-01,SUD-COMOE,C1090,AS27133,0.6112418300653595,region
32418,2016-01-01,INDENIE-DJUABLIN,C4001,AS27000,0.7076180067722573,region
31530,2016-01-01,PORO-TCHOLOGO-BAGOUE,C3021,AS27132,0.10116284490920166,region
23791,2016-01-01,LOH-DJIBOUA,C2059,AS27134,0.1275801058310345,region
31528,2016-01-01,PORO-TCHOLOGO-BAGOUE,C3021,AS27000,0.10116284490920166,region
13429,2016-01-01,ABIDJAN 1-GRANDS PONTS,C1092,AS27137,0.07019610019857528,region
38152,2016-01-01,KABADOUGOU-BAFING-FOLON,C5003,AS27132,0.7085432012640652,region
12726,2016-01-01,SUD-COMOE,C1090,AS27134,0.31731843575418994,region
28026,2016-01-01,GBOKLE-NAWA-SAN PEDRO,C2131,AS27139,0.49442458428767183,region
26127,2016-01-01,BELIER,C2068,AS17005,0.07939076669544218,region
747,2016-01-01,SUD-COMOE,C1008,AS27134,0.10116284490920166,region
23827,2016-01-01,LOH-DJIBOUA,C2059,AS27137,0.13151169788120787,region
3008,2016-01-01,ABIDJAN 2,C1024,AS27133,0.03634207627737297,region
17746,2016-01-01,HAUT-SASSANDRA,C2003,AS46000,0.08197015073726607,region
32553,2016-01-01,INDENIE-DJUABLIN,C4001,AS27134,0.868421052631579,region
29446,2016-01-01,PORO-TCHOLOGO-BAGOUE,C3012,AS27138,0.10116284490920166,region
961,2016-01-01,AGNEBY-TIASSA-ME,C1009,AS27133,0.003246599882405685,region
12512,2016-01-01,LOH-DJIBOUA,C1089,AS27139,0.019424584287671794,region
31537,2016-01-01,PORO-TCHOLOGO-BAGOUE,C3021,AS27133,0.10116284490920166,region
3199,2016-01-01,ABIDJAN 2,C1024,AS46000,0.496551724137931,region
23707,2016-01-01,LOH-DJIBOUA,C2059,AS27132,0.12401950446846903,region
702,2016-01-01,SUD-COMOE,C1008,AS27133,0.10116284490920166,region
27981,2016-01-01,GBOKLE-NAWA-SAN PEDRO,C2131,AS27138,0.10116284490920166,region
2963,2016-01-01,ABIDJAN 2,C1024,AS27132,0.08484462701630704,region
12557,2016-01-01,SUD-COMOE,C1090,AS17005,0.0,region
12591,2016-01-01,SUD-COMOE,C1090,AS27000,0.4152130036423717,region
13474,2016-01-01,ABIDJAN 1-GRANDS PONTS,C1092,AS27139,0.11454534306848074,region
5606,2016-01-01,ABIDJAN 1-GRANDS PONTS,C1051,AS27133,0.011763607246449788,region
23746,2016-01-01,LOH-DJIBOUA,C2059,AS27133,0.11666419836689387,region
12636,2016-01-01,SUD-COMOE,C1090,AS27132,0.5783333333333334,region
35847,2016-01-01,N'ZI-IFOU-MORONOU,C4025,AS27132,0.10116284490920166,region
26215,2016-01-01,BELIER,C2068,AS27133,0.10116284490920166,region
18332,2016-01-01,GOH,C2006,AS27134,0.9279846523193003,region
12771,2016-01-01,SUD-COMOE,C1090,AS27137,0.0,region
13384,2016-01-01,ABIDJAN 1-GRANDS PONTS,C1092,AS27134,0.08099217435342806,region
18287,2016-01-01,GOH,C2006,AS27133,0.421150592216582,region
26131,2016-01-01,BELIER,C2068,AS27000,0.10116284490920166,region
13249,2016-01-01,ABIDJAN 1-GRANDS PONTS,C1092,AS27000,0.0594000260437225,region
5945,2016-01-01,ABIDJAN 1-GRANDS PONTS,C1054,AS27138,0.33777777777777773,region
29782,2016-01-01,HAMBOL,C3013,AS27138,0.07752315819945,region
5900,2016-01-01,ABIDJAN 1-GRANDS PONTS,C1054,AS27137,0.05994154937751835,region
34442,2016-01-01,N'ZI-IFOU-MORONOU,C4019,AS17005,0.07939076669544218,region
837,2016-01-01,SUD-COMOE,C1008,AS27138,0.10116284490920166,region
23963,2016-01-01,GOH,C2060,AS27132,0.8130736812144124,region
24008,2016-01-01,GOH,C2060,AS27133,0.17232791903892575,region
32463,2016-01-01,INDENIE-DJUABLIN,C4001,AS27132,0.0007776138928392755,region
35263,2016-01-01,N'ZI-IFOU-MORONOU,C4022,AS27132,0.10116284490920166,region
37107,2016-01-01,N'ZI-IFOU-MORONOU,C4054,AS27132,0.10116284490920166,region
5855,2016-01-01,ABIDJAN 1-GRANDS PONTS,C1054,AS27134,0.04640468937729826,region
3098,2016-01-01,ABIDJAN 2,C1024,AS27137,0.05113975154657173,region
38107,2016-01-01,KABADOUGOU-BAFING-FOLON,C5003,AS27000,0.6914508431424249,region
792,2016-01-01,SUD-COMOE,C1008,AS27137,0.10116284490920166,region
38007,2016-01-01,CAVALLY-GUEMON,C5002,AS27137,0.27418547435145213,region
12924,2016-01-01,SUD-COMOE,C1090,AS46000,0.2627058823529412,region
23918,2016-01-01,GOH,C2060,AS27000,0.15554391925089042,region
12816,2016-01-01,SUD-COMOE,C1090,AS27138,0.024390243902439025,region
31525,2016-01-01,PORO-TCHOLOGO-BAGOUE,C3021,AS17005,0.07939076669544218,region
3143,2016-01-01,ABIDJAN 2,C1024,AS27138,0.10694285766822151,region
26176,2016-01-01,BELIER,C2068,AS27132,0.10116284490920166,region
13339,2016-01-01,ABIDJAN 1-GRANDS PONTS,C1092,AS27133,0.07493787464930018,region
12861,2016-01-01,SUD-COMOE,C1090,AS27139,0.0,region
36412,2016-01-01,BOUNKANI-GONTOUGO,C4026,AS46000,0.1194415631751429,region
3053,2016-01-01,ABIDJAN 2,C1024,AS27134,0.09579795044225399,region
18242,2016-01-01,GOH,C2006,AS27132,0.0,region
29380,2016-01-01,PORO-TCHOLOGO-BAGOUE,C3012,AS27134,0.10116284490920166,region
24053,2016-01-01,GOH,C2060,AS27134,0.09457764299779071,region
37098,2016-01-01,N'ZI-IFOU-MORONOU,C4054,AS27000,0.10116284490920166,region
13294,2016-01-01,ABIDJAN 1-GRANDS PONTS,C1092,AS27132,0.0594000260437225,region
32508,2016-01-01,INDENIE-DJUABLIN,C4001,AS27133,0.13915041177565776,region
37116,2016-01-01,N'ZI-IFOU-MORONOU,C4054,AS27133,0.10116284490920166,region
18197,2016-01-01,GOH,C2006,AS27000,0.8884094901687651,region
29335,2016-01-01,PORO-TCHOLOGO-BAGOUE,C3012,AS27133,0.10116284490920166,region
18540,2016-01-01,GBOKLE-NAWA-SAN PEDRO,C2007,AS27000,0.10116284490920166,region
5548,2016-01-01,ABIDJAN 1-GRANDS PONTS,C1051,AS27000,0.009348551352986848,region
5315,2016-01-01,ABIDJAN 2,C1035,AS27133,0.12081949651072202,region
23371,2016-01-01,HAUT-SASSANDRA,C2056,AS46000,0.2,region
17520,2016-01-01,HAUT-SASSANDRA,C2003,AS27132,0.26176755257084233,region
12110,2016-01-01,ABIDJAN 1-GRANDS PONTS,C1088,AS27134,0.2574120090697708,region
27851,2016-01-01,GBOKLE-NAWA-SAN PEDRO,C2131,AS27133,0.10116284490920166,region
5360,2016-01-01,ABIDJAN 2,C1035,AS27134,0.0883666245140101,region
37179,2016-01-01,N'ZI-IFOU-MORONOU,C4054,AS27138,0.10116284490920166,region
32643,2016-01-01,INDENIE-DJUABLIN,C4001,AS27138,0.0006702025072324012,region
18771,2016-01-01,GBOKLE-NAWA-SAN PEDRO,C2007,AS46000,0.1194415631751429,region
24332,2016-01-01,HAUT-SASSANDRA,C2061,AS27133,0.09962485987139952,region
5405,2016-01-01,ABIDJAN 2,C1035,AS27137,0.005030420921471064,region
12155,2016-01-01,ABIDJAN 1-GRANDS PONTS,C1088,AS27137,0.16127873085591957,region
614,2016-01-01,SUD-COMOE,C1008,AS27000,0.10116284490920166,region
34487,2016-01-01,N'ZI-IFOU-MORONOU,C4019,AS27000,0.10116284490920166,region
37063,2016-01-01,N'ZI-IFOU-MORONOU,C4054,AS17005,0.07939076669544218,region
24421,2016-01-01,GBEKE,C2062,AS17005,0.0,region
37170,2016-01-01,N'ZI-IFOU-MORONOU,C4054,AS27137,0.10116284490920166,region
24422,2016-01-01,GBEKE,C2062,AS27000,0.9696739130434782,region
6707,2016-01-01,ABIDJAN 2,C1058,AS27000,0.09892653735709374,region
6752,2016-01-01,ABIDJAN 2,C1058,AS27137,0.06066566779187634,region
37188,2016-01-01,N'ZI-IFOU-MORONOU,C4054,AS27139,0.019424584287671794,region
24467,2016-01-01,GBEKE,C2062,AS27132,0.1,region
5270,2016-01-01,ABIDJAN 2,C1035,AS27132,0.02675477278345863,region
23332,2016-01-01,HAUT-SASSANDRA,C2056,AS27139,0.10011344299489507,region
18911,2016-01-01,WORODOUGOU-BERE,C2008,AS27137,0.10116284490920166,region
27811,2016-01-01,GBOKLE-NAWA-SAN PEDRO,C2131,AS27132,0.10116284490920166,region
13867,2016-01-01,GBOKLE-NAWA-SAN PEDRO,C1095,AS27133,0.10116284490920166,region
12020,2016-01-01,ABIDJAN 1-GRANDS PONTS,C1088,AS27132,0.24427513706551016,region
3293,2016-01-01,ABIDJAN 2,C1026,AS27132,0.06229038744317907,region
26350,2016-01-01,BELIER,C2068,AS27138,0.10116284490920166,region
13822,2016-01-01,GBOKLE-NAWA-SAN PEDRO,C1095,AS27132,0.10116284490920166,region
18866,2016-01-01,WORODOUGOU-BERE,C2008,AS27133,0.10116284490920166,region
12065,2016-01-01,ABIDJAN 1-GRANDS PONTS,C1088,AS27133,0.1630950091286416,region
17475,2016-01-01,HAUT-SASSANDRA,C2003,AS17005,0.2756153601244512,region
36023,2016-01-01,N'ZI-IFOU-MORONOU,C4025,AS27138,0.10116284490920166,region
31582,2016-01-01,PORO-TCHOLOGO-BAGOUE,C3021,AS27134,0.10116284490920166,region
40765,2016-01-01,KABADOUGOU-BAFING-FOLON,C5063,AS17005,0.02159960522848907,region
17565,2016-01-01,HAUT-SASSANDRA,C2003,AS27133,0.3240415720951202,region
18630,2016-01-01,GBOKLE-NAWA-SAN PEDRO,C2007,AS27133,0.10116284490920166,region
26260,2016-01-01,BELIER,C2068,AS27134,0.10116284490920166,region
12372,2016-01-01,LOH-DJIBOUA,C1089,AS27133,0.11666419836689387,region
5498,2016-01-01,ABIDJAN 2,C1035,AS46000,0.011574494504406797,region
2918,2016-01-01,ABIDJAN 2,C1024,AS27000,0.04021154302146747,region
27936,2016-01-01,GBOKLE-NAWA-SAN PEDRO,C2131,AS27137,0.10116284490920166,region
13522,2016-01-01,ABIDJAN 1-GRANDS PONTS,C1092,AS46000,0.29464733703976964,region
12417,2016-01-01,LOH-DJIBOUA,C1089,AS27134,0.1275801058310345,region
35702,2016-01-01,N'ZI-IFOU-MORONOU,C4024,AS27133,0.32580360084505333,region
37161,2016-01-01,N'ZI-IFOU-MORONOU,C4054,AS27134,0.10116284490920166,region
18585,2016-01-01,GBOKLE-NAWA-SAN PEDRO,C2007,AS27132,0.10116284490920166,region
36193,2016-01-01,BOUNKANI-GONTOUGO,C4026,AS27133,0.10116284490920166,region
36373,2016-01-01,BOUNKANI-GONTOUGO,C4026,AS27139,0.42530693722884827,region
23662,2016-01-01,LOH-DJIBOUA,C2059,AS27000,0.11666419836689387,region
24226,2016-01-01,GOH,C2060,AS46000,0.775598252678998,region
32598,2016-01-01,INDENIE-DJUABLIN,C4001,AS27137,0.0206702025072324,region
12200,2016-01-01,ABIDJAN 1-GRANDS PONTS,C1088,AS27138,0.2501676197448085,region
659,2016-01-01,SUD-COMOE,C1008,AS27132,0.10116284490920166,region
1070,2016-01-01,ABIDJAN 2,C1010,AS27000,0.041160226074224086,region
2867,2016-01-01,ABIDJAN 2,C1024,AS17005,0.01098645617536459,region
3248,2016-01-01,ABIDJAN 2,C1026,AS27000,0.016164745710707494,region
3244,2016-01-01,ABIDJAN 2,C1026,AS17005,0.00823012999123913,region
18720,2016-01-01,GBOKLE-NAWA-SAN PEDRO,C2007,AS27137,0.10116284490920166,region
13644,2016-01-01,AGNEBY-TIASSA-ME,C1093,AS27134,0.10116284490920166,region
38173,2016-01-01,KABADOUGOU-BAFING-FOLON,C5003,AS27133,0.5612345876126861,region
5450,2016-01-01,ABIDJAN 2,C1035,AS27138,0.00356410518059688,region
27896,2016-01-01,GBOKLE-NAWA-SAN PEDRO,C2131,AS27134,0.10116284490920166,region
12252,2016-01-01,ABIDJAN 1-GRANDS PONTS,C1088,AS46000,0.16503514184325302,region
26305,2016-01-01,BELIER,C2068,AS27137,0.10116284490920166,region
13599,2016-01-01,AGNEBY-TIASSA-ME,C1093,AS27133,0.10116284490920166,region
17610,2016-01-01,HAUT-SASSANDRA,C2003,AS27134,0.3532958049152041,region
18675,2016-01-01,GBOKLE-NAWA-SAN PEDRO,C2007,AS27134,0.10116284490920166,region
24271,2016-01-01,HAUT-SASSANDRA,C2061,AS27000,0.09962485987139952,region
17642,2016-01-01,HAUT-SASSANDRA,C2003,AS27137,0.3142707287060277,region
26082,2016-01-01,GBOKLE-NAWA-SAN PEDRO,C2066,AS46000,0.13531871387679023,region
19979,2016-01-01,MARAHOUE,C2011,AS27139,0.0,region
38101,2016-01-01,KABADOUGOU-BAFING-FOLON,C5003,AS17005,0.0006103961293926245,region
26866,2016-01-01,HAUT-SASSANDRA,C2070,AS27133,0.09962485987139952,region
9285,2016-01-01,ABIDJAN 1-GRANDS PONTS,C1073,AS27134,0.021904268952189977,region
25316,2016-01-01,GBOKLE-NAWA-SAN PEDRO,C2064,AS27139,0.01466659327122132,region
33361,2016-01-01,AGNEBY-TIASSA-ME,C4015,AS27132,0.10116284490920166,region
25504,2016-01-01,AGNEBY-TIASSA-ME,C2065,AS27132,0.10116284490920166,region
2331,2016-01-01,ABIDJAN 1-GRANDS PONTS,C1017,AS27134,0.006339760141650852,region
25830,2016-01-01,GBOKLE-NAWA-SAN PEDRO,C2066,AS27133,0.10116284490920166,region
9738,2016-01-01,ABIDJAN 1-GRANDS PONTS,C1077,AS27000,0.3802339376998233,region
34207,2016-01-01,BOUNKANI-GONTOUGO,C4018,AS27132,0.11640656362138913,region
2234,2016-01-01,ABIDJAN 2,C1015,AS46000,0.18687687524459712,region
15295,2016-01-01,AGNEBY-TIASSA-ME,C1112,AS27137,0.10116284490920166,region
8378,2016-01-01,ABIDJAN 2,C1069,AS27000,0.1380468359277447,region
16467,2016-01-01,ABIDJAN 1-GRANDS PONTS,C1413,AS27134,0.043160757674349674,region
16021,2016-01-01,GBOKLE-NAWA-SAN PEDRO,C1411,AS27132,0.668752371635038,region
1929,2016-01-01,ABIDJAN 2,C1015,AS27132,0.3559819739381146,region
33303,2016-01-01,INDENIE-DJUABLIN,C4014,AS27138,0.0,region
31776,2016-01-01,HAMBOL,C3022,AS27137,0.09120228332620042,region
9828,2016-01-01,ABIDJAN 1-GRANDS PONTS,C1077,AS27133,0.15358865248226952,region
15450,2016-01-01,AGNEBY-TIASSA-ME,C1112,AS46000,0.1194415631751429,region
31866,2016-01-01,HAMBOL,C3022,AS27139,0.019538027282566862,region
