"district","month","year","implant_women_old","implant_women_new","injection2_women_old","injection2_women_new","injection3_women_old","injection3_women_new","pill_women_old","pill_women_new","iud_women_old","iud_women_new","iud_number_dispensed","implant_number_dispensed","injection2_number_dispensed","injection3_number_dispensed","pill_number_dispensed","iud_number_received","implant_number_received","injection2_number_received","injection3_number_received","pill_number_received","iud_stock_end","implant_stock_end","injection2_stock_end","injection3_stock_end","pill_stock_end"
"ABOBO OUEST",9,2019,186,344,347,57,825,176,413,41,46,79,68,429,226,843,703,108,645,740,2527,2025,,259,,1745,2054
"ABOISSO",1,2019,167,73,24,5,973,235,122,28,,,,93,19,689,198,2,162,32,869,508,,209,,880,368
"ABOISSO",2,2019,96,77,16,2,655,213,88,19,,1,1,68,13,434,206,2,114,20,436,428,,235,,689,389
"ABOISSO",3,2019,147,109,22,8,718,172,109,24,,,,114,29,426,236,2,113,16,255,406,,217,,536,360
"ABOISSO",4,2019,78,65,28,11,763,167,81,15,,,,78,46,575,203,2,136,226,758,588,,213,,723,565
"ABOISSO",5,2019,142,60,32,7,738,179,94,23,13,1,,74,34,581,221,2,284,209,777,638,,354,,742,658
"ABOISSO",6,2019,145,69,163,23,670,196,115,22,,,,62,172,596,168,2,115,355,630,594,,331,,814,655
"ABOISSO",7,2019,12,103,86,30,673,193,75,27,,,,116,130,608,149,2,192,250,646,667,,376,,518,716
"ABOISSO",8,2019,85,92,108,18,691,232,67,27,,,,145,97,563,167,12,281,361,851,830,,433,,802,711
"ABOISSO",9,2019,122,95,55,9,758,175,98,22,,,,109,129,490,183,,153,231,514,630,,420,,647,667
"ADIAKE",1,2019,,11,43,4,184,41,32,3,,,,11,44,148,121,5,17,46,140,173,,6,,88,19
"ADIAKE",2,2019,,11,3,2,166,39,20,5,,,,11,5,147,84,5,16,5,110,121,,5,,94,51
"ADIAKE",3,2019,,13,2,,205,35,21,2,,,,13,2,151,76,5,15,,117,126,,2,,49,82
"ADIAKE",4,2019,,6,23,5,191,48,22,5,,,2,7,29,177,75,5,17,103,154,85,,10,,48,45
"ADIAKE",5,2019,,11,53,6,177,33,36,10,,,,12,52,216,162,3,25,112,224,340,,13,,98,177
"ADIAKE",6,2019,,10,31,3,200,48,18,4,,1,2,10,31,162,118,3,28,135,214,113,,18,,130,45
"ADIAKE",7,2019,,11,51,9,178,49,37,6,,1,1,14,59,242,118,1,23,106,276,125,,10,,165,90
"ADIAKE",8,2019,,9,26,5,190,38,18,8,,,,11,35,223,92,,26,171,287,151,,15,,141,61
"ADIAKE",9,2019,,12,53,11,176,31,31,5,,,,12,65,164,105,,20,124,170,101,,8,,104,41
"ADJAME-PLATEAU-ATTECOUBE",1,2019,499,123,214,14,1747,190,627,49,40,6,28,171,32,929,1631,48,454,51,1154,2127,,648,,1301,1884
"ADJAME-PLATEAU-ATTECOUBE",2,2019,775,154,200,2,1822,133,600,23,52,7,21,221,50,987,782,108,586,83,1275,3284,,845,,972,2457
"ADJAME-PLATEAU-ATTECOUBE",3,2019,325,146,25,3,872,226,286,23,34,5,23,143,51,1004,993,69,430,127,1670,1506,,702,,1045,1397
"ADJAME-PLATEAU-ATTECOUBE",4,2019,334,165,38,10,770,132,267,27,24,11,17,143,42,872,812,71,354,307,1104,1302,,534,,603,776
"ADJAME-PLATEAU-ATTECOUBE",5,2019,345,115,41,13,929,131,294,39,20,5,6,120,57,968,849,40,490,306,2306,1796,,534,,1384,1206
"ADJAME-PLATEAU-ATTECOUBE",6,2019,352,140,44,21,817,137,219,37,27,7,12,162,151,891,690,37,437,538,1486,1407,,519,,1016,1348
"ADJAME-PLATEAU-ATTECOUBE",7,2019,367,185,118,34,910,142,336,29,36,10,22,323,117,945,1157,94,643,695,1632,2496,,711,,1002,2431
"ADJAME-PLATEAU-ATTECOUBE",8,2019,165,152,87,22,657,137,222,24,12,10,9,230,132,646,766,82,454,463,1444,2310,,555,,1051,2251
"ADJAME-PLATEAU-ATTECOUBE",9,2019,190,152,95,33,653,122,274,32,30,16,20,135,147,720,1328,74,437,272,1006,1459,,857,,1011,1360
"ADZOPE",1,2019,,28,11,,360,59,49,16,6,2,2,86,11,409,178,8,95,36,561,182,,71,,391,589
"ADZOPE",2,2019,14,98,6,2,269,101,44,9,3,10,13,110,8,370,108,3,173,27,411,290,,233,,1373,578
"ADZOPE",3,2019,21,113,,,340,97,50,8,5,57,8,134,,413,166,,91,37,443,262,,163,,1249,700
"ADZOPE",4,2019,11,88,58,5,366,76,61,12,4,2,3,139,57,457,198,,146,164,618,313,,181,,798,634
"ADZOPE",5,2019,10,66,49,7,294,45,55,4,4,,,74,49,333,183,,98,12,320,104,,191,,647,564
"ADZOPE",6,2019,16,57,57,1,325,45,46,2,5,,,73,58,363,136,,127,112,431,241,,183,,388,296
"ADZOPE",7,2019,40,64,76,11,314,82,51,10,2,6,3,105,87,383,161,10,80,10,254,241,,257,,636,259
"ADZOPE",8,2019,12,54,59,6,270,36,48,9,3,,,65,65,329,155,,97,112,425,367,,179,,369,401
"ADZOPE",9,2019,41,50,41,6,374,63,88,8,4,,,85,46,403,150,,108,22,509,199,,311,,936,322
"AGBOVILLE",1,2019,53,125,5,2,878,220,87,12,,5,8,132,21,994,318,70,169,61,1115,791,,87,,374,721
"AGBOVILLE",2,2019,57,66,53,11,882,141,72,27,17,1,6,112,5,1028,332,9,104,17,1031,513,,84,,576,571
"AGBOVILLE",3,2019,743,46,2,1,959,117,69,22,10,,1,78,3,1045,175,8,108,20,1070,192,,104,,285,449
"AGBOVILLE",4,2019,65,77,44,9,858,135,106,10,6,,6,94,43,897,202,4,157,85,934,271,,84,,198,302
"AGBOVILLE",5,2019,375,62,15,2,937,124,64,54,63,,5,126,19,979,323,11,142,87,1055,666,,313,,673,581
"AGBOVILLE",6,2019,375,62,132,15,741,116,222,314,58,4,3,103,123,845,383,8,371,204,1144,644,,320,,447,576
"AGBOVILLE",7,2019,80,50,42,9,785,94,99,13,1,,1,74,60,696,215,7,137,151,930,339,,384,,591,915
"AGBOVILLE",8,2019,44,57,73,18,734,157,108,13,1,,1,94,96,786,342,7,134,111,934,829,,407,,709,699
"AGBOVILLE",9,2019,83,72,18,5,893,99,263,13,2,3,5,114,32,938,287,7,134,41,1094,658,,202,,806,793
"AGNIBILEKROU",1,2019,60,37,,,313,72,70,12,,,,49,2,301,469,,87,2,392,320,,101,,276,302
"AGNIBILEKROU",2,2019,77,21,1,,295,62,73,14,,,,43,1,348,146,,118,,345,252,,142,,223,272
"AGNIBILEKROU",3,2019,77,29,8,,321,92,113,40,,,,41,,390,225,,75,,304,268,,114,,192,280
"AGNIBILEKROU",4,2019,87,37,1,,355,59,93,27,,,,50,1,370,198,,77,,270,350,,105,,181,348
"AGNIBILEKROU",5,2019,75,32,3,2,280,56,96,26,,,,37,5,292,139,,80,57,266,371,,116,,182,417
"AGNIBILEKROU",6,2019,57,39,16,6,293,65,104,45,,,,50,4,304,435,,113,66,345,291,,42,,203,401
"AGNIBILEKROU",7,2019,86,28,8,2,318,70,139,23,,,,40,33,282,251,,81,55,192,236,,93,,175,229
"AGNIBILEKROU",8,2019,85,45,5,1,344,75,112,12,,,,45,3,349,257,,106,31,350,254,,104,,186,260
"AGNIBILEKROU",9,2019,87,48,34,9,322,57,85,15,,,,60,,331,218,,108,41,331,202,,101,,213,243
"AKOUPE",1,2019,348,60,,,341,64,52,2,10,1,1,51,,261,139,9,78,,465,230,,34,,275,131
"AKOUPE",2,2019,19,35,,,262,58,75,5,,1,,67,,208,87,9,59,,326,152,,19,,155,99
"AKOUPE",3,2019,9,40,,,210,63,90,3,,,,28,,106,88,,38,,132,64,,10,,81,22
"AKOUPE",4,2019,406,37,36,,269,36,92,3,10,1,,23,29,48,62,9,35,150,88,126,,12,,40,82
"AKOUPE",5,2019,424,41,20,7,211,47,84,9,10,,,44,25,147,103,9,78,241,280,200,,34,,166,111
"AKOUPE",6,2019,13,24,20,3,199,45,97,2,10,1,,2,5,26,59,,8,20,89,114,,,,38,55
"AKOUPE",7,2019,1,44,85,13,241,38,110,8,,,,,,6,,,,,,,,,,13,
"AKOUPE",8,2019,539,26,35,7,249,27,101,4,10,,,,,,,,,,,,,,,,
"AKOUPE",9,2019,548,25,51,4,299,49,113,4,10,,,13,4,51,7,,20,,35,20,,3,,25,
"ALEPE",1,2019,9,16,27,7,225,53,22,5,,4,2,15,25,185,12,10,25,31,223,80,,11,,343,78
"ALEPE",2,2019,1,6,7,1,230,63,5,,2,,2,54,5,189,19,5,75,6,461,118,,21,,472,108
"ALEPE",3,2019,,19,1,1,215,122,16,4,,2,2,11,2,201,14,5,15,,345,94,,4,,196,90
"ALEPE",4,2019,9,54,7,1,295,65,45,3,,3,4,11,8,222,12,5,40,75,321,113,,30,,176,109
"ALEPE",5,2019,2,22,12,1,273,45,17,,,2,2,10,15,184,8,5,40,,371,101,,30,,284,112
"ALEPE",6,2019,80,23,9,,254,59,13,6,7,1,1,6,21,162,12,12,44,65,390,81,,58,,300,149
"ALEPE",7,2019,1,42,19,6,275,73,25,1,,3,3,17,25,223,9,5,20,50,338,30,,62,,278,121
"ALEPE",8,2019,102,25,17,1,371,47,14,3,13,3,3,21,18,243,21,5,2,47,440,56,,6,,335,77
"ALEPE",9,2019,118,18,8,1,400,67,19,5,11,6,6,10,4,228,25,10,10,21,260,64,,1,,261,58
"ANYAMA",1,2019,31,159,39,7,540,119,125,37,,6,6,116,44,611,371,15,114,10,538,376,,51,,319,312
"ANYAMA",2,2019,4,74,1,,479,100,103,19,,11,1,39,,300,83,4,93,7,404,302,,78,,256,269
"ANYAMA",3,2019,2,103,45,27,400,84,85,28,,4,,92,,363,191,5,138,7,289,191,,116,,290,301
"ANYAMA",4,2019,,179,51,16,424,85,133,33,,11,6,125,113,274,327,7,201,144,172,429,,137,,292,369
"ANYAMA",5,2019,,149,21,7,560,98,147,31,1,11,2,50,29,355,170,8,181,135,495,310,,164,,262,258
"ANYAMA",6,2019,7,152,65,20,400,67,92,14,,3,5,126,60,310,201,12,215,82,465,335,,67,,472,253
"ANYAMA",7,2019,1,373,69,31,500,125,110,44,1,11,6,263,163,530,227,15,314,347,756,340,,105,,560,206
"ANYAMA",8,2019,14,122,97,9,491,85,141,30,1,4,5,126,128,578,353,20,204,269,765,450,,96,,280,168
"ANYAMA",9,2019,3,178,89,19,369,113,141,35,8,10,7,126,110,509,146,21,285,270,631,245,,185,,428,224
"ARRAH",1,2019,94,25,16,5,237,63,32,9,,,,30,,321,104,,25,,245,159,,27,,86,165
"ARRAH",2,2019,94,15,,1,213,61,25,7,,,,15,,253,91,,35,,239,142,,27,,137,139
"ARRAH",3,2019,96,48,,,263,52,32,6,,4,,25,,319,88,,32,10,284,175,,54,,139,177
"ARRAH",4,2019,96,23,13,1,230,51,37,3,,,,23,14,279,108,,41,110,242,235,,57,,109,154
"ARRAH",5,2019,96,22,30,6,222,66,35,6,,1,,23,20,301,90,,29,106,184,101,,35,,56,80
"ARRAH",6,2019,96,14,24,10,221,46,30,5,,,,14,34,220,99,,28,39,283,214,,8,,105,193
"ARRAH",7,2019,104,22,12,8,260,68,42,4,,,,22,17,306,94,,24,21,313,204,,23,,93,169
"ARRAH",8,2019,123,19,9,1,268,49,27,7,,,,21,10,319,83,,42,60,325,164,,32,,155,156
"ARRAH",9,2019,122,80,45,3,254,32,32,6,,,,21,48,299,110,,37,87,303,150,,24,,78,82
"BANGOLO",1,2019,146,27,,,249,76,2,3,,,1,26,,215,4,,23,5,208,2,,32,,104,7
"BANGOLO",2,2019,173,22,,,227,79,3,,,,,21,,192,2,,29,5,270,,,33,,162,
"BANGOLO",3,2019,170,38,1,9,222,87,3,,,,,30,10,200,5,,41,,208,5,,32,,123,
"BANGOLO",4,2019,29,30,,,182,70,1,,,,,26,,175,1,,42,4,245,,,41,,126,2
"BANGOLO",5,2019,8,29,,,176,79,1,,,,,27,,201,1,,50,4,243,4,,67,,115,5
"BANGOLO",6,2019,98,21,,,176,65,1,2,,,,21,,195,9,,43,4,260,12,,50,,151,5
"BANGOLO",7,2019,100,21,,,257,45,1,1,,,,20,,155,5,,33,,167,9,,33,,103,6
"BANGOLO",8,2019,100,21,,,186,37,3,,,,,31,,158,4,,39,4,255,3,,45,,173,2
"BANGOLO",9,2019,108,7,,,180,49,1,,,,,12,,144,4,,24,,199,4,,42,,144,1
"BEOUMI",1,2019,75,31,22,9,347,33,22,5,,,,26,29,165,48,,49,436,510,70,,275,,550,2350
"BEOUMI",2,2019,12,39,,,186,78,49,7,,,,34,2,167,211,2,72,4,157,1522,,273,,483,1680
"BEOUMI",3,2019,73,147,,1,210,206,55,44,,,,75,1,260,484,2,56,19,274,1465,,280,,585,1554
"BEOUMI",4,2019,13,50,8,6,224,111,29,23,,,,57,14,239,253,,45,75,245,1175,,233,,544,1314
"BEOUMI",5,2019,10,188,11,7,237,120,31,13,,,10,151,15,272,234,16,190,63,450,766,,266,,636,942
"BEOUMI",6,2019,3,64,38,26,242,80,34,13,,,,51,63,293,533,,83,71,212,502,,277,,530,821
"BEOUMI",7,2019,1,32,33,9,227,76,35,6,,1,,27,41,264,365,,75,38,235,733,,266,,477,1094
"BEOUMI",8,2019,7,39,31,8,289,50,49,14,,,4,37,45,300,342,,98,110,364,712,,114,,208,835
"BEOUMI",9,2019,88,41,18,,264,83,37,4,,,,43,22,311,275,,74,56,399,657,,287,,533,745
"BETTIE",1,2019,102,12,213,10,528,48,91,7,,,,7,25,48,30,,40,70,225,423,,63,,234,598
"BETTIE",2,2019,50,12,202,2,501,48,85,7,,,,8,11,86,41,,,,25,159,,68,,205,493
"BETTIE",3,2019,112,15,183,2,535,46,78,9,,,,11,1,59,85,,10,100,50,198,,56,,208,480
"BETTIE",4,2019,79,16,196,11,552,52,75,12,,,,6,32,98,29,,9,200,60,129,,59,,212,325
"BETTIE",5,2019,119,14,187,13,562,40,74,14,,,,15,42,69,35,,18,90,110,173,,61,,250,465
"BETTIE",6,2019,125,13,199,11,588,45,80,7,,,,13,40,81,45,,,70,60,132,,55,,260,425
"BETTIE",7,2019,123,14,196,6,601,49,69,14,,,,15,29,118,22,,31,98,206,153,,26,,129,27
"BETTIE",8,2019,128,12,206,7,619,48,68,2,,,,13,39,123,14,,26,67,109,30,,62,,94,31
"BETTIE",9,2019,167,2,284,3,720,55,44,5,,,,11,17,110,48,,,,75,,,65,,107,7
"BIANKOUMA",1,2019,208,70,229,2,198,130,9,2,,,,69,,276,2,,83,13,449,8,,57,,289,14
"BIANKOUMA",2,2019,323,51,72,14,435,93,11,1,13,3,,51,,274,3,,47,,400,33,,20,,250,21
"BIANKOUMA",3,2019,355,33,10,3,450,105,12,7,1,7,,35,1,216,15,,85,100,340,40,,63,,266,128
"BIANKOUMA",4,2019,3,56,1,6,165,111,1,,,,,46,5,251,,,115,,356,10,,99,,243,51
"BIANKOUMA",5,2019,112,52,54,1,376,90,9,1,,,,26,,238,2,,54,,378,7,,86,,234,11
"BIANKOUMA",6,2019,191,43,50,1,390,64,12,,,,,38,5,228,4,,87,,380,7,,14,,230,10
"BIANKOUMA",7,2019,3,33,2,,195,102,2,,,,,28,2,297,2,,54,,350,,,65,,226,5
"BIANKOUMA",8,2019,17,25,6,,135,78,2,,,,,41,7,209,28,,41,,356,62,,82,,239,45
"BIANKOUMA",9,2019,3,25,,,234,51,2,3,,2,,28,,220,4,,56,,343,6,,87,,213,8
"BLOLEQUIN",1,2019,562,64,3,,503,137,29,19,33,30,32,29,2,291,27,17,34,6,230,95,,39,,178,87
"BLOLEQUIN",2,2019,82,37,2,1,337,125,32,14,498,12,10,23,2,228,23,24,40,12,258,184,,64,,181,193
"BLOLEQUIN",3,2019,636,47,,3,365,372,30,17,,,,58,3,441,47,,99,23,552,52,,79,,246,50
"BLOLEQUIN",4,2019,609,53,,1,452,509,41,17,,,,64,1,274,41,,108,10,461,156,,102,,366,122
"BLOLEQUIN",5,2019,749,60,1,3,803,286,55,12,,,,53,4,281,29,,160,5,233,80,,137,,283,104
"BLOLEQUIN",6,2019,1176,52,,1,834,171,54,13,,1,1,35,1,212,30,1,79,6,177,44,,133,,265,94
"BLOLEQUIN",7,2019,1228,28,,,1044,197,66,40,,,2,40,,289,59,,131,22,246,60,,171,,211,67
"BLOLEQUIN",8,2019,1211,34,28,55,400,221,63,5,,,5,25,,514,29,17,89,7,484,86,,111,,427,98
"BLOLEQUIN",9,2019,1144,22,,,608,457,62,4,,,,25,,265,23,,100,7,281,73,,132,,394,58
"BOCANDA",1,2019,8,11,72,,376,78,13,6,,,,2,7,207,529,2,2,5,190,121,,4,,127,503
"BOCANDA",2,2019,4,8,69,,410,55,19,5,,,,1,2,154,262,2,34,,178,1575,,33,,114,1755
"BOCANDA",3,2019,3,11,2,,126,76,13,7,,,,17,2,205,1080,2,13,10,176,61,,28,,81,689
"BOCANDA",4,2019,,8,14,7,203,64,15,12,,5,,6,14,181,317,2,5,25,218,53,,25,,130,396
"BOCANDA",5,2019,3,17,8,4,177,80,14,5,,,,12,12,303,771,2,5,20,318,1546,,12,,140,1126
"BOCANDA",6,2019,7,7,30,14,142,35,17,7,,,,6,20,208,268,2,19,32,246,1545,,27,,155,2387
"BOCANDA",7,2019,2,16,18,7,189,60,13,7,,,,15,24,265,936,2,11,32,232,46,,17,,68,1458
"BOCANDA",8,2019,2,6,17,1,183,50,19,1,,,,7,18,194,616,2,3,24,209,21,,11,,92,861
"BOCANDA",9,2019,2,9,10,1,171,57,18,2,,,,1,11,223,239,,5,30,390,680,,14,,235,1282
"BONDOUKOU",1,2019,580,74,56,2,1263,289,234,80,,1,6,74,36,996,1470,42,280,80,1255,767,,551,,883,982
"BONDOUKOU",2,2019,323,95,8,1,958,321,262,109,6,,3,100,99,933,1626,9,299,54,1472,2187,,430,,1005,1372
"BONDOUKOU",3,2019,380,503,8,18,1147,517,236,122,1,4,2,370,31,1199,1246,11,381,139,2350,1912,,309,,1664,2253
"BONDOUKOU",4,2019,555,230,34,12,1108,366,247,68,4,,,407,39,1171,1466,9,777,177,1868,1322,,486,,1192,1290
"BONDOUKOU",5,2019,581,230,7,23,1209,383,270,90,43,1,1,181,17,1181,2019,8,2333,266,1865,1856,,665,,1004,1128
"BONDOUKOU",6,2019,767,83,15,6,1160,312,227,82,,5,1,97,13,1060,1060,7,608,264,2033,1104,,369,,1280,980
"BONDOUKOU",7,2019,737,348,53,31,1094,349,266,142,,,6,256,18,921,1405,55,457,250,1701,1543,,694,,1144,1126
"BONDOUKOU",8,2019,862,67,13,2,1210,219,273,83,,1,,74,14,969,1071,50,331,120,1268,2297,,568,,621,1745
"BONDOUKOU",9,2019,862,93,11,8,1092,249,214,67,,,1,127,21,943,1263,50,289,166,1448,1726,,582,,773,999
"BONGOUANOU",1,2019,100,15,,7,249,108,27,21,,,,12,,316,56,,25,,293,110,,42,,115,320
"BONGOUANOU",2,2019,69,22,,,268,71,22,15,,,,23,,308,1417,,22,,366,2454,,31,,125,1357
"BONGOUANOU",3,2019,1,17,,,292,82,18,20,,,,17,,359,454,,54,,390,136,,45,,144,94
"BONGOUANOU",4,2019,64,15,2,4,295,89,31,15,,,,18,6,363,161,,46,30,343,379,,44,,93,269
"BONGOUANOU",5,2019,,16,9,1,187,110,24,14,,,,16,10,253,220,,53,20,247,710,,41,,82,535
"BONGOUANOU",6,2019,63,22,8,4,280,62,26,27,,,,21,10,303,374,,34,20,549,522,,,,132,409
"BONGOUANOU",7,2019,64,17,11,3,267,90,22,12,,,,15,5,327,107,,19,20,349,70,,8,,104,98
"BONGOUANOU",8,2019,66,16,2,,275,78,27,10,,,,14,2,393,395,,17,15,487,711,,37,,164,380
"BONGOUANOU",9,2019,65,22,7,1,264,69,15,7,,,,19,8,304,360,,41,20,371,328,,51,,149,305
"BOTRO",1,2019,52,10,,,114,31,20,1,,,1,16,,76,35,,37,6,108,130,,51,,93,127
"BOTRO",2,2019,9,151,1,3,71,47,11,8,,1,,77,4,73,28,,114,,132,89,,78,,96,127
"BOTRO",3,2019,124,238,9,,134,89,14,5,3,,2,41,9,70,200,,72,,166,49,,55,,127,65
"BOTRO",4,2019,27,61,10,3,114,36,22,4,1,,1,9,,41,25,5,34,,91,71,,40,,74,54
"BOTRO",5,2019,1,61,7,1,146,33,12,4,,,,9,,55,38,,25,,90,52,,37,,87,66
"BOTRO",6,2019,21,69,15,1,141,28,14,6,1,2,,12,7,18,25,5,26,14,7,10,,16,,11,44
"BOTRO",7,2019,8,33,7,1,122,24,13,1,,1,1,7,1,46,6,3,1,2,35,18,,16,,10,46
"BOTRO",8,2019,40,56,11,1,175,42,21,2,1,1,,3,,27,16,,,,11,,,13,,24,39
"BOTRO",9,2019,79,91,1,,161,57,23,7,,,,25,,98,22,,39,25,178,58,,39,,263,66
"BOUAFLE",1,2019,31,291,52,5,1247,282,243,33,2,26,24,293,51,1310,1084,18,234,17,1191,1672,,421,,1542,2268
"BOUAFLE",2,2019,115,774,36,3,1000,311,157,14,2,18,20,281,39,1175,492,44,633,19,1405,1732,,686,,1634,5115
"BOUAFLE",3,2019,21,1018,20,8,1021,437,135,30,1,18,14,484,28,1456,671,22,711,55,1728,433,,924,,1200,1975
"BOUAFLE",4,2019,10,290,24,7,1115,297,165,38,,8,8,249,31,1277,474,8,183,206,1112,699,,868,,930,1789
"BOUAFLE",5,2019,5,483,41,10,1064,414,202,36,,22,22,453,52,1455,884,155,331,58,1220,1118,,871,,946,1263
"BOUAFLE",6,2019,9,233,29,8,1098,364,153,11,,16,16,199,37,1439,401,21,254,39,1790,501,,547,,1556,1014
"BOUAFLE",7,2019,31,278,22,9,1180,413,160,51,9,11,10,355,31,1457,527,33,593,69,2293,567,,669,,2188,946
"BOUAFLE",8,2019,41,221,37,15,1098,329,196,29,,23,16,214,51,1254,426,28,182,25,939,376,,827,,2046,728
"BOUAFLE",9,2019,46,367,31,12,1266,343,163,44,1,18,21,406,43,1683,486,5,228,58,2336,593,,796,,1956,960
"BOUAKE NORD-EST",1,2019,63,185,34,2,525,144,91,32,,,,37,15,439,168,,56,1,286,122,,54,,208,264
"BOUAKE NORD-EST",2,2019,119,213,21,,417,136,108,36,3,1,1,175,2,228,187,1,168,1,164,126,,57,,98,167
"BOUAKE NORD-EST",3,2019,42,24,35,3,414,114,100,16,,,,26,8,332,216,10,84,281,460,234,,115,,246,165
"BOUAKE NORD-EST",4,2019,71,135,78,13,422,85,107,17,2,4,1,44,61,476,200,,36,134,500,230,,74,,238,174
"BOUAKE NORD-EST",5,2019,58,118,57,14,414,96,127,11,1,2,,85,41,429,196,,81,10,488,377,,113,,386,383
"BOUAKE NORD-EST",6,2019,158,215,123,12,426,90,130,14,1,8,6,170,89,388,342,6,176,155,380,277,,94,,346,295
"BOUAKE NORD-EST",7,2019,84,110,79,15,464,197,116,52,4,3,5,118,69,565,357,2,146,55,310,275,,183,,305,311
"BOUAKE NORD-EST",8,2019,112,207,54,15,423,120,84,26,1,2,,244,42,487,211,50,136,105,429,486,,185,,367,602
"BOUAKE NORD-EST",9,2019,62,299,47,18,499,110,103,18,9,24,56,299,155,540,381,5,136,11,465,177,,112,,341,770
"BOUAKE NORD-OUEST",1,2019,640,391,54,1,535,241,134,45,,,,343,1,461,201,,289,,349,213,,155,,1036,771
"BOUAKE NORD-OUEST",2,2019,331,91,42,,564,86,130,21,,,,79,,234,125,,107,,254,235,,151,,907,798
"BOUAKE NORD-OUEST",3,2019,649,399,40,1,616,166,136,21,,,,337,1,479,157,,324,25,325,59,,128,,838,619
"BOUAKE NORD-OUEST",4,2019,1,141,6,18,373,123,76,14,,,,118,24,304,138,,97,52,203,109,,93,,74,91
"BOUAKE NORD-OUEST",5,2019,3,91,29,14,379,106,90,17,,,,,,,,,,,,,,,,,
"BOUAKE NORD-OUEST",6,2019,7,67,65,18,332,78,68,25,,,,50,82,259,146,,48,76,225,150,,,,36,61
